Label (Grouping),RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher,"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher",RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!Bachelor's degree or higher
        Margin of Error,,(X),±2.2,±2.5,(X),±2.3,±0.4,(X),±91.2,±91.2,(X),**,**,(X),±11.4,±21.0,(X),**,**,(X),±22.7,±22.7,(X),±49.6,±49.6,(X),±15.9,±20.0
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,922,922,891,882,882,878,13,13,13,0,0,0,161,161,95,0,0,0,103,103,103,27,27,27,170,170,143
        Margin of Error,,±210,±210,±212,±213,±213,±213,±21,±21,±21,±13,±13,±13,±109,±109,±62,±13,±13,±13,±140,±140,±140,±44,±44,±44,±155,±155,±148
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,96.60%,(X),100.00%,99.50%,(X),100.00%,100.00%,(X),-,-,(X),100.00%,59.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,84.10%
        Margin of Error,,(X),±4.2,±4.8,(X),±4.4,±0.8,(X),±91.2,±91.2,(X),**,**,(X),±21.8,±43.2,(X),**,**,(X),±31.1,±31.1,(X),±63.3,±63.3,(X),±20.8,±26.9
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,835,835,835,825,825,825,0,0,0,0,0,0,170,170,170,0,0,0,50,50,50,17,17,17,60,60,60
        Margin of Error,,±206,±206,±206,±202,±202,±202,±13,±13,±13,±13,±13,±13,±122,±122,±122,±13,±13,±13,±79,±79,±79,±26,±26,±26,±80,±80,±80
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±4.7,±4.7,(X),±4.7,±4.7,(X),**,**,(X),**,**,(X),±20.8,±20.8,(X),**,**,(X),±46.5,±46.5,(X),±79.8,±79.8,(X),±42.5,±42.5
"Census Tract 53.03, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,923","1,923","1,799","1,821","1,821","1,718",78,78,33,0,0,0,347,347,334,0,0,0,35,35,35,106,106,106,202,202,181
        Margin of Error,,±318,±318,±324,±316,±316,±320,±52,±52,±37,±13,±13,±13,±190,±190,±190,±13,±13,±13,±50,±50,±50,±148,±148,±148,±111,±111,±102
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,93.60%,(X),100.00%,94.30%,(X),100.00%,42.30%,(X),-,-,(X),100.00%,96.30%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,89.60%
        Margin of Error,,(X),±2.1,±3.8,(X),±2.2,±3.7,(X),±37.2,±44.0,(X),**,**,(X),±10.9,±6.6,(X),**,**,(X),±55.6,±55.6,(X),±30.4,±30.4,(X),±17.9,±16.3
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,871,871,840,808,808,798,45,45,0,0,0,0,139,139,139,0,0,0,0,0,0,41,41,41,63,63,42
        Margin of Error,,±145,±145,±143,±138,±138,±139,±48,±48,±13,±13,±13,±13,±125,±125,±125,±13,±13,±13,±13,±13,±13,±61,±61,±61,±74,±74,±65
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,96.40%,(X),100.00%,98.80%,(X),100.00%,0.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,66.70%
        Margin of Error,,(X),±4.5,±4.1,(X),±4.8,±1.8,(X),±49.0,±49.0,(X),**,**,(X),±24.6,±24.6,(X),**,**,(X),**,**,(X),±51.4,±51.4,(X),±41.5,±54.8
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,052","1,052",959,"1,013","1,013",920,33,33,33,0,0,0,208,208,195,0,0,0,35,35,35,65,65,65,139,139,139
        Margin of Error,,±295,±295,±306,±291,±291,±301,±37,±37,±37,±13,±13,±13,±150,±150,±151,±13,±13,±13,±50,±50,±50,±88,±88,±88,±113,±113,±113
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,91.20%,(X),100.00%,90.80%,(X),100.00%,100.00%,(X),-,-,(X),100.00%,93.80%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±3.7,±6.8,(X),±3.9,±7.0,(X),±57.3,±57.3,(X),**,**,(X),±17.4,±11.8,(X),**,**,(X),±55.6,±55.6,(X),±40.8,±40.8,(X),±24.6,±24.6
"Census Tract 55.01, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,350","1,318","1,210","1,094","1,094",986,15,15,15,0,0,0,24,24,0,0,0,0,0,0,0,68,68,68,301,269,269
        Margin of Error,,±385,±391,±375,±373,±373,±351,±24,±24,±24,±13,±13,±13,±38,±38,±13,±13,±13,±13,±13,±13,±13,±76,±76,±76,±173,±161,±161
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),97.60%,89.60%,(X),100.00%,90.10%,(X),100.00%,100.00%,(X),-,-,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),89.40%,89.40%
        Margin of Error,,(X),±4.2,±7.4,(X),±3.6,±8.9,(X),±84.9,±84.9,(X),**,**,(X),±67.2,±67.2,(X),**,**,(X),**,**,(X),±39.9,±39.9,(X),±17.0,±17.0
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,827,827,749,690,690,612,15,15,15,0,0,0,24,24,0,0,0,0,0,0,0,45,45,45,182,182,182
        Margin of Error,,±300,±300,±270,±282,±282,±249,±24,±24,±24,±13,±13,±13,±38,±38,±13,±13,±13,±13,±13,±13,±13,±65,±65,±65,±129,±129,±129
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,90.60%,(X),100.00%,88.70%,(X),100.00%,100.00%,(X),-,-,(X),100.00%,0.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±4.7,±9.7,(X),±5.6,±11.4,(X),±84.9,±84.9,(X),**,**,(X),±67.2,±67.2,(X),**,**,(X),**,**,(X),±49.0,±49.0,(X),±19.6,±19.6
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,523,491,461,404,404,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,119,87,87
        Margin of Error,,±169,±163,±160,±151,±151,±148,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±39,±39,±39,±104,±85,±85
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),93.90%,88.10%,(X),100.00%,92.60%,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),73.10%,73.10%
        Margin of Error,,(X),±10.2,±13.0,(X),±9.4,±11.8,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),**,**,(X),±68.6,±68.6,(X),±38.8,±38.8
"Census Tract 55.02, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,761","1,755","1,626","1,688","1,682","1,555",184,139,22,0,0,0,79,79,66,0,0,0,66,66,66,96,96,24,211,211,137
        Margin of Error,,±363,±363,±355,±371,±371,±364,±118,±90,±27,±13,±13,±13,±72,±72,±66,±13,±13,±13,±85,±85,±85,±130,±130,±38,±167,±167,±110
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),99.70%,92.30%,(X),99.60%,92.10%,(X),75.50%,12.00%,(X),-,-,(X),100.00%,83.50%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,25.00%,(X),100.00%,64.90%
        Margin of Error,,(X),±0.8,±5.7,(X),±0.8,±5.9,(X),±19.9,±11.1,(X),**,**,(X),±36.9,±22.3,(X),**,**,(X),±40.5,±40.5,(X),±32.7,±50.8,(X),±17.2,±42.3
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,821,821,785,819,819,785,117,95,16,0,0,0,27,27,27,0,0,0,49,49,49,72,72,0,123,123,49
        Margin of Error,,±288,±288,±272,±288,±288,±272,±91,±85,±19,±13,±13,±13,±36,±36,±36,±13,±13,±13,±81,±81,±81,±124,±124,±13,±152,±152,±81
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,95.60%,(X),100.00%,95.80%,(X),81.20%,13.70%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,0.00%,(X),100.00%,39.80%
        Margin of Error,,(X),±4.8,±5.9,(X),±4.8,±5.9,(X),±22.9,±11.4,(X),**,**,(X),±63.3,±63.3,(X),**,**,(X),±47.0,±47.0,(X),±38.8,±38.8,(X),±27.2,±57.4
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,940,934,841,869,863,770,67,44,6,0,0,0,52,52,39,0,0,0,17,17,17,24,24,24,88,88,88
        Margin of Error,,±190,±190,±215,±183,±183,±204,±45,±29,±14,±13,±13,±13,±66,±66,±60,±13,±13,±13,±26,±26,±26,±38,±38,±38,±79,±79,±79
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),99.40%,89.50%,(X),99.30%,88.60%,(X),65.70%,9.00%,(X),-,-,(X),100.00%,75.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±1.5,±9.3,(X),±1.6,±10.1,(X),±26.5,±20.7,(X),**,**,(X),±45.6,±44.6,(X),**,**,(X),±79.8,±79.8,(X),±67.2,±67.2,(X),±34.6,±34.6
"Census Tract 55.03, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,493","1,493","1,493","1,422","1,422","1,422",76,76,76,0,0,0,269,269,269,0,0,0,0,0,0,0,0,0,90,90,90
        Margin of Error,,±523,±523,±523,±524,±524,±524,±89,±89,±89,±13,±13,±13,±184,±184,±184,±13,±13,±13,±13,±13,±13,±13,±13,±13,±96,±96,±96
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,100.00%
        Margin of Error,,(X),±2.6,±2.6,(X),±2.8,±2.8,(X),±37.7,±37.7,(X),**,**,(X),±13.8,±13.8,(X),**,**,(X),**,**,(X),**,**,(X),±34.1,±34.1
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,565,565,565,525,525,525,76,76,76,0,0,0,159,159,159,0,0,0,0,0,0,0,0,0,40,40,40
        Margin of Error,,±237,±237,±237,±237,±237,±237,±89,±89,±89,±13,±13,±13,±126,±126,±126,±13,±13,±13,±13,±13,±13,±13,±13,±13,±61,±61,±61
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,100.00%
        Margin of Error,,(X),±6.8,±6.8,(X),±7.3,±7.3,(X),±37.7,±37.7,(X),**,**,(X),±22.0,±22.0,(X),**,**,(X),**,**,(X),**,**,(X),±52.0,±52.0
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,928,928,928,897,897,897,0,0,0,0,0,0,110,110,110,0,0,0,0,0,0,0,0,0,50,50,50
        Margin of Error,,±367,±367,±367,±362,±362,±362,±13,±13,±13,±13,±13,±13,±101,±101,±101,±13,±13,±13,±13,±13,±13,±13,±13,±13,±71,±71,±71
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,100.00%
        Margin of Error,,(X),±4.2,±4.2,(X),±4.4,±4.4,(X),**,**,(X),**,**,(X),±29.6,±29.6,(X),**,**,(X),**,**,(X),**,**,(X),±46.5,±46.5
"Census Tract 56.01, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,153","1,153","1,013","1,047","1,047",907,0,0,0,0,0,0,267,267,267,0,0,0,11,11,11,229,229,229,285,285,285
        Margin of Error,,±260,±260,±234,±272,±272,±239,±13,±13,±13,±13,±13,±13,±135,±135,±135,±13,±13,±13,±16,±16,±16,±235,±235,±235,±240,±240,±240
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,87.90%,(X),100.00%,86.60%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±3.4,±10.3,(X),±3.7,±11.1,(X),**,**,(X),**,**,(X),±13.9,±13.9,(X),**,**,(X),±99.2,±99.2,(X),±16.0,±16.0,(X),±13.1,±13.1
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,717,717,602,672,672,557,0,0,0,0,0,0,141,141,141,0,0,0,1,1,1,14,14,14,59,59,59
        Margin of Error,,±193,±193,±149,±198,±198,±151,±13,±13,±13,±13,±13,±13,±102,±102,±102,±13,±13,±13,±3,±3,±3,±23,±23,±23,±46,±46,±46
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,84.00%,(X),100.00%,82.90%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±5.4,±14.8,(X),±5.8,±15.6,(X),**,**,(X),**,**,(X),±24.3,±24.3,(X),**,**,(X),±100.0,±100.0,(X),±87.9,±87.9,(X),±42.8,±42.8
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,436,436,411,375,375,350,0,0,0,0,0,0,126,126,126,0,0,0,10,10,10,215,215,215,226,226,226
        Margin of Error,,±180,±180,±175,±177,±177,±171,±13,±13,±13,±13,±13,±13,±72,±72,±72,±13,±13,±13,±16,±16,±16,±234,±234,±234,±234,±234,±234
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,94.30%,(X),100.00%,93.30%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±8.8,±8.3,(X),±10.1,±9.7,(X),**,**,(X),**,**,(X),±26.7,±26.7,(X),**,**,(X),±100.0,±100.0,(X),±16.9,±16.9,(X),±16.2,±16.2
"Census Tract 56.02, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,504","1,464","1,361","1,297","1,297","1,205",126,126,115,13,13,0,602,602,582,0,0,0,60,60,60,132,132,132,306,266,244
        Margin of Error,,±295,±278,±264,±274,±274,±262,±108,±108,±106,±24,±24,±13,±387,±387,±383,±13,±13,±13,±88,±88,±88,±104,±104,±104,±167,±141,±141
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),97.30%,90.50%,(X),100.00%,92.90%,(X),100.00%,91.30%,(X),100.00%,0.00%,(X),100.00%,96.70%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),86.90%,79.70%
        Margin of Error,,(X),±3.8,±7.2,(X),±3.0,±7.6,(X),±26.7,±23.1,(X),±91.2,±91.2,(X),±6.4,±5.7,(X),**,**,(X),±42.5,±42.5,(X),±25.7,±25.7,(X),±17.4,±22.0
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,712,712,672,669,669,629,86,86,75,13,13,0,172,172,152,0,0,0,40,40,40,22,22,22,103,103,92
        Margin of Error,,±215,±215,±202,±213,±213,±201,±84,±84,±81,±24,±24,±13,±142,±142,±131,±13,±13,±13,±59,±59,±59,±26,±26,±26,±74,±74,±73
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,94.40%,(X),100.00%,94.00%,(X),100.00%,87.20%,(X),100.00%,0.00%,(X),100.00%,88.40%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,89.30%
        Margin of Error,,(X),±5.5,±8.1,(X),±5.8,±8.6,(X),±35.1,±33.9,(X),±91.2,±91.2,(X),±20.6,±18.9,(X),**,**,(X),±52.0,±52.0,(X),±70.1,±70.1,(X),±31.1,±25.5
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,792,752,689,628,628,576,40,40,40,0,0,0,430,430,430,0,0,0,20,20,20,110,110,110,203,163,152
        Margin of Error,,±177,±156,±152,±151,±151,±148,±63,±63,±63,±13,±13,±13,±356,±356,±356,±13,±13,±13,±29,±29,±29,±91,±91,±91,±128,±90,±90
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),94.90%,87.00%,(X),100.00%,91.70%,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),80.30%,74.90%
        Margin of Error,,(X),±7.0,±9.0,(X),±6.2,±7.8,(X),±52.0,±52.0,(X),**,**,(X),±8.9,±8.9,(X),**,**,(X),±73.6,±73.6,(X),±29.6,±29.6,(X),±22.9,±23.5
"Census Tract 58.01, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,204","1,171","1,097","1,009","1,009",935,209,184,19,0,0,0,365,220,74,0,0,0,15,15,15,43,43,43,210,177,177
        Margin of Error,,±253,±254,±238,±253,±253,±237,±197,±186,±27,±13,±13,±13,±138,±101,±46,±13,±13,±13,±23,±23,±23,±35,±35,±35,±94,±87,±87
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),97.30%,91.10%,(X),100.00%,92.70%,(X),88.00%,9.10%,(X),-,-,(X),60.30%,20.30%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),84.30%,84.30%
        Margin of Error,,(X),±3.7,±6.7,(X),±3.9,±6.9,(X),±23.6,±12.8,(X),**,**,(X),±16.9,±15.7,(X),**,**,(X),±84.9,±84.9,(X),±50.2,±50.2,(X),±20.5,±20.5
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,553,553,544,483,483,474,16,11,0,0,0,0,101,79,43,0,0,0,0,0,0,18,18,18,70,70,70
        Margin of Error,,±150,±150,±149,±146,±146,±145,±36,±24,±13,±13,±13,±13,±48,±41,±28,±13,±13,±13,±13,±13,±13,±20,±20,±20,±59,±59,±59
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,98.40%,(X),100.00%,98.10%,(X),68.80%,0.00%,(X),-,-,(X),78.20%,42.60%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±7.0,±3.1,(X),±7.9,±3.6,(X),±68.8,±82.3,(X),**,**,(X),±24.7,±25.6,(X),**,**,(X),**,**,(X),±77.5,±77.5,(X),±39.3,±39.3
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,651,618,553,526,526,461,193,173,19,0,0,0,264,141,31,0,0,0,15,15,15,25,25,25,140,107,107
        Margin of Error,,±195,±196,±180,±190,±190,±172,±213,±198,±27,±13,±13,±13,±131,±100,±32,±13,±13,±13,±23,±23,±23,±27,±27,±27,±71,±59,±59
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),94.90%,84.90%,(X),100.00%,87.60%,(X),89.60%,9.80%,(X),-,-,(X),53.40%,11.70%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),76.40%,76.40%
        Margin of Error,,(X),±7.0,±12.0,(X),±7.3,±12.7,(X),±24.9,±14.6,(X),**,**,(X),±19.4,±14.0,(X),**,**,(X),±84.9,±84.9,(X),±65.8,±65.8,(X),±28.6,±28.6
"Census Tract 58.02, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,275","1,275","1,134","1,125","1,125","1,051",184,184,146,0,0,0,136,136,136,0,0,0,0,0,0,120,120,120,244,244,177
        Margin of Error,,±196,±196,±178,±186,±186,±172,±104,±104,±82,±13,±13,±13,±83,±83,±83,±13,±13,±13,±13,±13,±13,±82,±82,±82,±109,±109,±91
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,88.90%,(X),100.00%,93.40%,(X),100.00%,79.30%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,72.50%
        Margin of Error,,(X),±3.1,±7.1,(X),±3.5,±4.4,(X),±19.4,±15.1,(X),**,**,(X),±25.1,±25.1,(X),**,**,(X),**,**,(X),±27.7,±27.7,(X),±15.1,±28.2
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,688,688,611,621,621,611,77,77,57,0,0,0,92,92,92,0,0,0,0,0,0,68,68,68,97,97,30
        Margin of Error,,±156,±156,±141,±142,±142,±141,±72,±72,±59,±13,±13,±13,±73,±73,±73,±13,±13,±13,±13,±13,±13,±68,±68,±68,±96,±96,±48
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,88.80%,(X),100.00%,98.40%,(X),100.00%,74.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,30.90%
        Margin of Error,,(X),±5.6,±11.1,(X),±6.2,±2.3,(X),±37.5,±28.8,(X),**,**,(X),±33.6,±33.6,(X),**,**,(X),**,**,(X),±39.9,±39.9,(X),±32.4,±47.8
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,587,587,523,504,504,440,107,107,89,0,0,0,44,44,44,0,0,0,0,0,0,52,52,52,147,147,147
        Margin of Error,,±127,±127,±117,±125,±125,±111,±74,±74,±57,±13,±13,±13,±30,±30,±30,±13,±13,±13,±13,±13,±13,±43,±43,±43,±79,±79,±79
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,89.10%,(X),100.00%,87.30%,(X),100.00%,83.20%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±6.6,±8.0,(X),±7.6,±9.1,(X),±30.2,±20.8,(X),**,**,(X),±49.6,±49.6,(X),**,**,(X),**,**,(X),±45.6,±45.6,(X),±23.5,±23.5
"Census Tract 59, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,161","1,150","1,006","1,002",991,855,398,258,92,0,0,0,117,117,93,0,0,0,33,33,33,23,23,23,168,168,160
        Margin of Error,,±269,±267,±246,±257,±256,±236,±129,±117,±54,±13,±13,±13,±69,±69,±58,±13,±13,±13,±42,±42,±42,±21,±21,±21,±132,±132,±129
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
